Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
BL1 1AA,No,53.579554,-2.432887,371436,409305,SD714093,Queens Park & Central,"Bolton, unparished area",1996-06-01,2001-02-01,97,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AB,No,53.578117,-2.427768,371774,409143,SD717091,Queens Park & Central,"Bolton, unparished area",1990-02-01,1997-12-01,101,England,2024-09-06,Postcode sector mean (mainly PO Boxes),E01004817,Bolton 022E,E01004817,Bolton 022E
BL1 1AD,No,53.579231,-2.432823,371440,409269,SD714092,Queens Park & Central,"Bolton, unparished area",1992-01-01,2021-03-01,97,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AE,No,53.579554,-2.432887,371436,409305,SD714093,Queens Park & Central,"Bolton, unparished area",1993-01-01,2005-10-01,97,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AG,No,53.579554,-2.432887,371436,409305,SD714093,Queens Park & Central,"Bolton, unparished area",1995-12-01,2006-04-01,97,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AH,No,53.579689,-2.432979,371430,409320,SD714093,Queens Park & Central,"Bolton, unparished area",1995-01-01,1995-12-01,96,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AP,Yes,53.577569,-2.425089,371951,409081,SD719090,Queens Park & Central,"Bolton, unparished area",2007-09-01,,97,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004817,Bolton 022E,E01004817,Bolton 022E
BL1 1AQ,Yes,53.578021,-2.426740,371842,409132,SD718091,Queens Park & Central,"Bolton, unparished area",2012-09-01,,99,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004817,Bolton 022E,E01004817,Bolton 022E
BL1 1AR,Yes,53.577469,-2.430419,371598,409072,SD715090,Queens Park & Central,"Bolton, unparished area",2012-10-01,,103,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01033217,Bolton 016E,E01033217,Bolton 016E
BL1 1AS,Yes,53.578021,-2.426740,371842,409132,SD718091,Queens Park & Central,"Bolton, unparished area",2014-04-01,,99,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01004817,Bolton 022E,E01004817,Bolton 022E
