Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
BL0 0AA,Yes,53.647755,-2.312381,379448,416851,SD794168,Ramsbottom,"Bury, unparished area",1980-01-01,,130,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AB,Yes,53.647989,-2.312474,379442,416877,SD794168,Ramsbottom,"Bury, unparished area",1980-01-01,,130,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AD,Yes,53.649155,-2.313284,379389,417007,SD793170,Ramsbottom,"Bury, unparished area",2010-07-01,,129,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AE,No,53.650251,-2.313003,379408,417129,SD794171,Ramsbottom,"Bury, unparished area",1990-02-01,2022-05-01,131,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AG,Yes,53.647331,-2.309670,379627,416803,SD796168,Ramsbottom,"Bury, unparished area",1980-01-01,,147,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AH,Yes,53.649253,-2.312981,379409,417018,SD794170,Ramsbottom,"Bury, unparished area",1980-01-01,,131,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AJ,Yes,53.647542,-2.303785,380016,416825,SD800168,Ramsbottom,"Bury, unparished area",1995-12-01,,183,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0AL,Yes,53.647652,-2.310064,379601,416839,SD796168,Ramsbottom,"Bury, unparished area",1980-01-01,,144,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005014,Bury 001A,E01005014,Bury 001A
BL0 0AN,Yes,53.644648,-2.308077,379731,416504,SD797165,Ramsbottom,"Bury, unparished area",1980-01-01,,150,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AP,Yes,53.646854,-2.309302,379651,416750,SD796167,Ramsbottom,"Bury, unparished area",1980-01-01,,149,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AQ,Yes,53.647080,-2.309426,379643,416775,SD796167,Ramsbottom,"Bury, unparished area",1980-01-01,,148,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AR,Yes,53.646442,-2.309437,379642,416704,SD796167,Ramsbottom,"Bury, unparished area",1980-01-01,,147,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AS,Yes,53.644735,-2.309076,379665,416514,SD796165,Ramsbottom,"Bury, unparished area",1980-01-01,,144,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AT,Yes,53.646597,-2.308394,379711,416721,SD797167,Ramsbottom,"Bury, unparished area",1980-01-01,,153,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AU,Yes,53.647316,-2.307823,379749,416801,SD797168,Ramsbottom,"Bury, unparished area",1980-01-01,,155,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
BL0 0AW,Yes,53.644674,-2.307577,379764,416507,SD797165,Ramsbottom,"Bury, unparished area",1980-01-01,,152,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005017,Bury 001D,E01005017,Bury 001D
BL0 0AX,Yes,53.647450,-2.304723,379954,416815,SD799168,Ramsbottom,"Bury, unparished area",1980-01-01,,173,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005015,Bury 001B,E01005015,Bury 001B
