Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
M10 0HZ,No,53.522300,-2.167263,389008,402861,SD890028,Chadderton South,"Oldham, unparished area",1980-01-01,1994-05-01,106,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005345,Oldham 028C,E01005345,Oldham 028C
M10 0JB,No,53.523896,-2.169818,388839,403039,SD888030,Chadderton South,"Oldham, unparished area",1980-01-01,1994-05-01,106,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005345,Oldham 028C,E01005345,Oldham 028C
M10 0RX,No,53.520885,-2.163320,389269,402703,SD892027,Chadderton South,"Oldham, unparished area",1980-01-01,1994-05-01,109,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005346,Oldham 028D,E01005346,Oldham 028D
M24 1DD,Yes,53.540251,-2.172630,388657,404859,SD886048,Chadderton South,"Oldham, unparished area",1996-06-01,,103,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1FD,No,53.539270,-2.173395,388606,404750,SD886047,Chadderton South,"Oldham, unparished area",2007-04-01,2012-11-01,100,England,2024-09-06,Approximate to within 50 metres,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GJ,No,53.538830,-2.167449,389000,404700,SD889047,Chadderton South,"Oldham, unparished area",1995-07-01,1996-12-01,101,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GN,Yes,53.540534,-2.163200,389282,404889,SD892048,Chadderton South,"Oldham, unparished area",1980-01-01,,103,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GQ,Yes,53.540426,-2.170020,388830,404878,SD888048,Chadderton North,"Oldham, unparished area",1980-01-01,,103,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GR,Yes,53.539800,-2.173926,388571,404809,SD885048,Chadderton South,"Oldham, unparished area",1991-09-01,,99,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GS,Yes,53.538883,-2.172667,388654,404707,SD886047,Chadderton South,"Oldham, unparished area",1991-09-01,,102,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GW,Yes,53.539758,-2.165385,389137,404803,SD891048,Chadderton South,"Oldham, unparished area",1980-01-01,,100,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GY,No,53.539726,-2.168961,388900,404800,SD888047,Chadderton South,"Oldham, unparished area",1995-12-01,1996-12-01,104,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1GZ,No,53.539726,-2.168961,388900,404800,SD888047,Chadderton South,"Oldham, unparished area",1995-12-01,1996-12-01,104,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1NN,Yes,53.540561,-2.168223,388949,404893,SD889048,Chadderton South,"Oldham, unparished area",2005-12-01,,102,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QF,No,53.540914,-2.168241,388948,404932,SD889049,Chadderton South,"Oldham, unparished area",1995-01-01,2002-01-01,102,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QG,Yes,53.539819,-2.166894,389037,404810,SD890048,Chadderton South,"Oldham, unparished area",1980-01-01,,101,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QN,Yes,53.539666,-2.160405,389467,404792,SD894047,Chadderton South,"Oldham, unparished area",1980-01-01,,108,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QP,Yes,53.539345,-2.165444,389133,404757,SD891047,Chadderton South,"Oldham, unparished area",1980-01-01,,101,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QR,Yes,53.538450,-2.167324,389008,404658,SD890046,Chadderton South,"Oldham, unparished area",1995-01-01,,99,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QS,Yes,53.539433,-2.158667,389582,404766,SD895047,Chadderton South,"Oldham, unparished area",1995-01-01,,110,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QU,Yes,53.541438,-2.171214,388751,404991,SD887049,Chadderton North,"Oldham, unparished area",1980-01-01,,105,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1QW,Yes,53.539709,-2.161778,389376,404797,SD893047,Chadderton South,"Oldham, unparished area",1980-01-01,,106,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1RT,No,53.532965,-2.176523,388397,404049,SD883040,Chadderton South,"Oldham, unparished area",1990-07-01,2008-04-01,106,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
M24 1RU,Yes,53.534306,-2.173976,388566,404198,SD885041,Chadderton South,"Oldham, unparished area",1980-01-01,,105,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005330,Oldham 015B,E01005330,Oldham 015B
