Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
BL9 0RF,No,53.590780,-2.267363,382400,410500,SD824104,West Heywood,"Rochdale, unparished area",1980-01-01,1981-12-01,81,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005514,Rochdale 019E,E01005514,Rochdale 019E
BL9 6TG,No,53.615496,-2.268275,382350,413250,SD823132,Norden,"Rochdale, unparished area",1994-05-01,1995-01-01,237,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TR,Yes,53.607263,-2.255740,383176,412331,SD831123,Norden,"Rochdale, unparished area",1980-01-01,,177,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TS,Yes,53.607958,-2.253459,383327,412408,SD833124,Norden,"Rochdale, unparished area",1980-01-01,,170,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TT,Yes,53.608235,-2.251030,383488,412438,SD834124,Norden,"Rochdale, unparished area",1980-01-01,,164,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TU,Yes,53.608307,-2.250970,383492,412446,SD834124,Norden,"Rochdale, unparished area",1980-01-01,,164,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TX,Yes,53.608443,-2.250215,383542,412461,SD835124,Norden,"Rochdale, unparished area",1980-01-01,,163,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TY,Yes,53.608517,-2.249369,383598,412469,SD835124,Norden,"Rochdale, unparished area",1980-01-01,,161,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6TZ,Yes,53.611278,-2.252847,383369,412777,SD833127,Norden,"Rochdale, unparished area",1980-01-01,,193,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6UA,Yes,53.615800,-2.255819,383174,413281,SD831132,Norden,"Rochdale, unparished area",1980-01-01,,237,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
BL9 6UB,Yes,53.616704,-2.254285,383276,413381,SD832133,Norden,"Rochdale, unparished area",1995-01-01,,239,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005499,Rochdale 006C,E01005499,Rochdale 006C
