Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
BL4 9LW,No,53.531981,-2.401263,373500,404000,SD734039,Walkden North,"Salford, unparished area",1980-01-01,1986-12-01,106,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005702,Salford 003A,E01005702,Salford 003A
M17 1AA,No,53.471198,-2.283182,381300,397200,SJ812972,Quays,"Salford, unparished area",1980-01-01,1996-12-01,27,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01032686,Salford 028F,E01033997,Salford 028F
M17 1AJ,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1997-06-01,2003-06-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1BF,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1995-01-01,2019-02-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1BP,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1995-07-01,2009-06-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1BZ,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1992-01-01,2001-09-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1EP,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1999-12-01,2018-12-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1ER,No,53.471198,-2.283182,381300,397200,SJ812972,Quays,"Salford, unparished area",1980-01-01,1996-12-01,27,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01032686,Salford 028F,E01033997,Salford 028F
M17 1FW,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1995-01-01,2001-09-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1FY,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",1999-06-01,2006-03-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
M17 1GD,No,53.481200,-2.280431,381487,398312,SJ814983,Pendleton & Charlestown,"Salford, unparished area",2000-06-01,2003-06-01,41,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01032907,Salford 022H,E01033991,Salford 022H
