Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
M19 1RR,Yes,53.416090,-2.213696,385894,391053,SJ858910,Heatons South,"Stockport, unparished area",1980-01-01,,45,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005858,Stockport 013E,E01005858,Stockport 013E
M19 1RW,Yes,53.413411,-2.214134,385864,390755,SJ858907,Heatons South,"Stockport, unparished area",1980-01-01,,44,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005852,Stockport 013A,E01005852,Stockport 013A
M19 1TF,Yes,53.418356,-2.213271,385923,391305,SJ859913,Heatons South,"Stockport, unparished area",1994-05-01,,44,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005858,Stockport 013E,E01005858,Stockport 013E
M19 1TL,Yes,53.411864,-2.214473,385841,390583,SJ858905,Heatons South,"Stockport, unparished area",2003-07-01,,45,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005852,Stockport 013A,E01005852,Stockport 013A
M19 2QD,Yes,53.434010,-2.181950,388009,393041,SJ880930,Heatons North,"Stockport, unparished area",1980-01-01,,64,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005869,Stockport 006D,E01005869,Stockport 006D
M19 2SD,Yes,53.433415,-2.184749,387823,392975,SJ878929,Heatons North,"Stockport, unparished area",1980-01-01,,66,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005869,Stockport 006D,E01005869,Stockport 006D
M19 2SG,No,53.434740,-2.187735,387625,393123,SJ876931,Heatons North,"Stockport, unparished area",2007-08-01,2007-11-01,58,England,2024-09-06,Imputed by ONS by reference to surrounding postcode grid references,E01005869,Stockport 006D,E01005869,Stockport 006D
M19 2SH,No,53.434740,-2.187735,387625,393123,SJ876931,Heatons North,"Stockport, unparished area",1994-12-01,2009-06-01,58,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005869,Stockport 006D,E01005869,Stockport 006D
M19 2SJ,No,53.433634,-2.188106,387600,393000,SJ876929,Heatons North,"Stockport, unparished area",1995-07-01,1996-12-01,61,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005869,Stockport 006D,E01005869,Stockport 006D
M19 2WE,Yes,53.433491,-2.175538,388435,392982,SJ884929,Heatons North,"Stockport, unparished area",1994-05-01,,68,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005919,Stockport 002E,E01005919,Stockport 002E
M19 3JL,Yes,53.444837,-2.173174,388595,394244,SJ885942,Reddish North,"Stockport, unparished area",1980-01-01,,66,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3JN,Yes,53.444885,-2.172242,388657,394249,SJ886942,Reddish North,"Stockport, unparished area",1980-01-01,,67,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3JU,Yes,53.445343,-2.172109,388666,394300,SJ886942,Reddish North,"Stockport, unparished area",1994-05-01,,67,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3JW,No,53.446243,-2.171601,388700,394400,SJ886944,Reddish North,"Stockport, unparished area",1980-01-01,1994-05-01,68,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005887,Stockport 002A,E01005887,Stockport 002A
M19 3TD,Yes,53.446505,-2.170804,388753,394429,SJ887944,Reddish North,"Stockport, unparished area",1994-05-01,,67,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3TS,No,53.446154,-2.170697,388760,394390,SJ887943,Reddish North,"Stockport, unparished area",1998-10-01,2000-09-01,68,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3UZ,No,53.446262,-2.170953,388743,394402,SJ887944,Reddish North,"Stockport, unparished area",2007-12-01,2008-01-01,68,England,2024-09-06,Imputed by ONS by reference to surrounding postcode grid references,E01005890,Stockport 002B,E01005890,Stockport 002B
M19 3WH,Yes,53.446395,-2.172218,388659,394417,SJ886944,Reddish North,"Stockport, unparished area",1995-01-01,,67,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005887,Stockport 002A,E01005887,Stockport 002A
M19 3YN,Yes,53.447486,-2.169573,388835,394538,SJ888945,Reddish North,"Stockport, unparished area",1995-01-01,,69,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005887,Stockport 002A,E01005887,Stockport 002A
M19 3ZF,Yes,53.447286,-2.170957,388743,394516,SJ887945,Reddish North,"Stockport, unparished area",1995-01-01,,67,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005887,Stockport 002A,E01005887,Stockport 002A
M19 9AP,No,53.447592,-2.170703,388760,394550,SJ887945,Reddish North,"Stockport, unparished area",2000-08-01,2000-09-01,67,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005887,Stockport 002A,E01005887,Stockport 002A
M19 9BB,No,53.447592,-2.170703,388760,394550,SJ887945,Reddish North,"Stockport, unparished area",2000-08-01,2000-09-01,67,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005887,Stockport 002A,E01005887,Stockport 002A
