Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
M11 4PH,Yes,53.480179,-2.167156,389004,398175,SJ890981,Droylsden East,"Tameside, unparished area",1980-01-01,,89,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005998,Tameside 012A,E01005998,Tameside 012A
M11 4PJ,Yes,53.480386,-2.167141,389005,398198,SJ890981,Droylsden East,"Tameside, unparished area",1980-01-01,,89,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01005998,Tameside 012A,E01005998,Tameside 012A
M16 8DU,No,53.452608,-2.109887,392800,395100,SJ927951,Denton North East,"Tameside, unparished area",1994-12-01,1995-01-01,101,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01005976,Tameside 026B,E01005976,Tameside 026B
M34 0AE,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2024-02-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AG,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2011-06-01,2019-02-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AP,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2009-10-01,2011-10-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AR,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2009-12-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AT,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2009-12-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AU,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2010-03-01,2015-03-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AW,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2009-12-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AX,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2010-03-01,2019-04-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AY,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2009-12-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0AZ,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2010-08-01,2018-04-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BA,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2010-09-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BB,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2010-10-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BD,No,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2021-03-01,2022-02-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BE,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2011-06-01,2012-07-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BF,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2010-11-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BG,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2011-10-01,2012-11-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BH,No,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2011-10-01,2023-02-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BJ,No,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2014-11-01,2019-12-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BL,No,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2016-10-01,2022-05-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BN,No,53.455571,-2.112696,392614,395430,SJ926954,Denton North East,"Tameside, unparished area",2010-11-01,2014-09-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BP,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2012-07-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BQ,No,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2016-01-01,2024-02-01,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
M34 0BS,Yes,53.455579,-2.112424,392632,395431,SJ926954,Denton North East,"Tameside, unparished area",2010-11-01,,103,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01005974,Tameside 021C,E01005974,Tameside 021C
