Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
M15 4AB,Yes,53.465578,-2.260460,382806,396569,SJ828965,Gorse Hill & Cornbrook,"Trafford, unparished area",2000-06-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4AD,Yes,53.464903,-2.260757,382786,396494,SJ827964,Old Trafford,"Trafford, unparished area",1980-01-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006112,Trafford 001D,E01006112,Trafford 001D
M15 4AG,Yes,53.462070,-2.257546,382998,396178,SJ829961,Old Trafford,"Trafford, unparished area",1980-01-01,,36,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AJ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1999-12-01,2003-05-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4AL,Yes,53.462769,-2.258379,382943,396256,SJ829962,Old Trafford,"Trafford, unparished area",1980-01-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AN,Yes,53.462571,-2.258558,382931,396234,SJ829962,Old Trafford,"Trafford, unparished area",1980-01-01,,35,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AQ,Yes,53.462070,-2.257546,382998,396178,SJ829961,Old Trafford,"Trafford, unparished area",1980-01-01,,36,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AS,Yes,53.461621,-2.257227,383019,396128,SJ830961,Old Trafford,"Trafford, unparished area",1980-01-01,,39,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AT,Yes,53.461621,-2.257227,383019,396128,SJ830961,Old Trafford,"Trafford, unparished area",1980-01-01,,39,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4AZ,Yes,53.461794,-2.256355,383077,396147,SJ830961,Old Trafford,"Trafford, unparished area",1980-01-01,,38,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4BA,Yes,53.461794,-2.256355,383077,396147,SJ830961,Old Trafford,"Trafford, unparished area",1980-01-01,,38,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006109,Trafford 001A,E01006109,Trafford 001A
M15 4BF,Yes,53.466001,-2.264138,382562,396617,SJ825966,Gorse Hill & Cornbrook,"Trafford, unparished area",1994-05-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BG,Yes,53.466084,-2.263445,382608,396626,SJ826966,Gorse Hill & Cornbrook,"Trafford, unparished area",1994-05-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BH,Yes,53.465769,-2.263519,382603,396591,SJ826965,Gorse Hill & Cornbrook,"Trafford, unparished area",1994-05-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BJ,Yes,53.465463,-2.263863,382580,396557,SJ825965,Gorse Hill & Cornbrook,"Trafford, unparished area",1994-05-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BL,Yes,53.465050,-2.263529,382602,396511,SJ826965,Gorse Hill & Cornbrook,"Trafford, unparished area",1985-10-01,,32,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BN,Yes,53.465710,-2.261891,382711,396584,SJ827965,Gorse Hill & Cornbrook,"Trafford, unparished area",1994-05-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BT,Yes,53.464971,-2.262474,382672,396502,SJ826965,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,32,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BU,No,53.465325,-2.261226,382755,396541,SJ827965,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,2011-08-01,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BX,Yes,53.466068,-2.261697,382724,396624,SJ827966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BY,Yes,53.465690,-2.262599,382664,396582,SJ826965,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4BZ,Yes,53.466235,-2.263792,382585,396643,SJ825966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4DA,No,53.465332,-2.261814,382716,396542,SJ827965,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,2011-08-01,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4DE,Yes,53.466715,-2.262017,382703,396696,SJ827966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4ED,Yes,53.468109,-2.265566,382468,396852,SJ824968,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,35,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4EE,Yes,53.468704,-2.264937,382510,396918,SJ825969,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,32,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4EF,Yes,53.467283,-2.265998,382439,396760,SJ824967,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4EH,Yes,53.466888,-2.265484,382473,396716,SJ824967,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,35,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4EJ,Yes,53.466662,-2.266055,382435,396691,SJ824966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4EP,Yes,53.466802,-2.263932,382576,396706,SJ825967,Gorse Hill & Cornbrook,"Trafford, unparished area",2012-02-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4EZ,No,53.469144,-2.265438,382477,396967,SJ824969,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,2021-09-01,32,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4FB,Yes,53.466213,-2.266127,382430,396641,SJ824966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4FD,Yes,53.466484,-2.264637,382529,396671,SJ825966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4FE,Yes,53.467321,-2.264673,382527,396764,SJ825967,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,35,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4FF,Yes,53.467321,-2.264673,382527,396764,SJ825967,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,35,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4FH,Yes,53.466662,-2.266055,382435,396691,SJ824966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4FJ,Yes,53.466267,-2.265343,382482,396647,SJ824966,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4FL,Yes,53.465109,-2.265141,382495,396518,SJ824965,Gorse Hill & Cornbrook,"Trafford, unparished area",1992-01-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4FP,Yes,53.464752,-2.259867,382845,396477,SJ828964,Old Trafford,"Trafford, unparished area",2013-05-01,,32,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006112,Trafford 001D,E01006112,Trafford 001D
M15 4FU,Yes,53.465307,-2.261211,382756,396539,SJ827965,Gorse Hill & Cornbrook,"Trafford, unparished area",2014-12-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4GF,Yes,53.464615,-2.261041,382767,396462,SJ827964,Old Trafford,"Trafford, unparished area",2013-05-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006112,Trafford 001D,E01006112,Trafford 001D
M15 4GH,Yes,53.465937,-2.260914,382776,396609,SJ827966,Gorse Hill & Cornbrook,"Trafford, unparished area",2012-08-01,,34,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4GW,Yes,53.466482,-2.261684,382725,396670,SJ827966,Gorse Hill & Cornbrook,"Trafford, unparished area",2017-01-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4GX,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1999-12-01,2009-03-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4HA,Yes,53.468758,-2.264877,382514,396924,SJ825969,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4JL,Yes,53.465775,-2.264482,382539,396592,SJ825965,Gorse Hill & Cornbrook,"Trafford, unparished area",2004-07-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4JN,Yes,53.465837,-2.265357,382481,396599,SJ824965,Gorse Hill & Cornbrook,"Trafford, unparished area",2003-07-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4LS,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2013-08-01,2015-07-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4ND,No,53.469432,-2.269612,382200,397000,SJ822970,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,1991-12-01,26,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4NE,No,53.469422,-2.269763,382190,396999,SJ821969,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,2003-04-01,26,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4NF,No,53.468536,-2.268100,382300,396900,SJ823968,Gorse Hill & Cornbrook,"Trafford, unparished area",1992-01-01,1999-06-01,29,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4PE,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1996-12-01,2019-02-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4PF,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1996-12-01,2019-02-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4PL,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1997-12-01,2008-06-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4QZ,Yes,53.471756,-2.266688,382395,397258,SJ823972,Gorse Hill & Cornbrook,"Trafford, unparished area",2017-12-01,,27,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4RD,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1997-12-01,2008-06-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4RR,Yes,53.471982,-2.266132,382432,397283,SJ824972,Gorse Hill & Cornbrook,"Trafford, unparished area",2017-12-01,,28,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4SF,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2011-06-01,2016-05-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4SG,Yes,53.466104,-2.261772,382719,396628,SJ827966,Gorse Hill & Cornbrook,"Trafford, unparished area",2018-05-01,,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034001,Trafford 001E
M15 4TS,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",1997-06-01,2017-06-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WB,Yes,53.470874,-2.267421,382346,397160,SJ823971,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,30,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4WD,Yes,53.469514,-2.268920,382246,397009,SJ822970,Gorse Hill & Cornbrook,"Trafford, unparished area",1980-01-01,,27,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006185,Trafford 001E,E01034000,Trafford 001E
M15 4WF,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2002-06-01,2006-02-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WJ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2003-09-01,2006-02-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WN,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2004-06-01,2006-01-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WS,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2004-03-01,2008-05-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WU,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2003-03-01,2008-06-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4WZ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2003-07-01,2012-08-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XA,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2001-12-01,2002-03-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XB,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2001-12-01,2003-09-01,33,England,2024-09-06,Imputed by ONS by reference to surrounding postcode grid references,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XD,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2000-12-01,2001-09-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XE,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2001-12-01,2003-11-01,33,England,2024-09-06,Imputed by ONS by reference to surrounding postcode grid references,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XF,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-07-01,2007-09-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XG,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2006-07-01,2009-08-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XH,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2011-12-01,2012-12-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XJ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-02-01,2009-03-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XQ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-07-01,2008-08-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XR,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-01-01,2008-02-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XS,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-01-01,2008-01-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XT,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2007-01-01,2008-06-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XU,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2006-03-01,2009-04-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XW,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2005-08-01,2006-10-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XX,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2005-03-01,2006-03-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XY,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2005-03-01,2006-04-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
M15 4XZ,No,53.457321,-2.262773,382649,395651,SJ826956,Old Trafford,"Trafford, unparished area",2005-01-01,2006-04-01,33,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006110,Trafford 001B,E01006110,Trafford 001B
