Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
M28 1AA,Yes,53.507293,-2.426300,371824,401263,SD718012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AD,Yes,53.509075,-2.423242,372028,401460,SD720014,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AE,Yes,53.508417,-2.426175,371833,401388,SD718013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AF,Yes,53.507976,-2.428991,371646,401340,SD716013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AG,Yes,53.507055,-2.435103,371240,401240,SD712012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,48,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AH,Yes,53.508411,-2.430427,371551,401389,SD715013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,51,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AJ,No,53.507619,-2.428173,371700,401300,SD716013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,1999-06-01,52,England,2024-09-06,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AL,Yes,53.509227,-2.430843,371524,401480,SD715014,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,49,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AN,Yes,53.508557,-2.432223,371432,401406,SD714014,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,50,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AP,Yes,53.508549,-2.436700,371135,401407,SD711014,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,47,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AQ,Yes,53.507966,-2.436242,371165,401342,SD711013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,48,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AR,Yes,53.508963,-2.431427,371485,401451,SD714014,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,50,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AS,Yes,53.506855,-2.433110,371372,401217,SD713012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,50,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AT,Yes,53.507313,-2.433251,371363,401268,SD713012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,50,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AU,Yes,53.507771,-2.433240,371364,401319,SD713013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,50,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AW,Yes,53.508023,-2.433409,371353,401347,SD713013,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,49,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AX,Yes,53.506673,-2.431269,371494,401196,SD714011,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1AY,Yes,53.507308,-2.429542,371609,401266,SD716012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1AZ,Yes,53.506415,-2.428085,371705,401166,SD717011,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BA,Yes,53.506612,-2.425871,371852,401187,SD718011,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BB,Yes,53.512067,-2.420949,372182,401792,SD721017,Tyldesley & Mosley Common,"Wigan, unparished area",2008-09-01,,57,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BD,Yes,53.513967,-2.419745,372263,402003,SD722020,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,58,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BE,Yes,53.514810,-2.420479,372215,402097,SD722020,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,57,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BF,Yes,53.515214,-2.420270,372229,402142,SD722021,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,57,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BG,Yes,53.506405,-2.433120,371371,401167,SD713011,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,48,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006380,Wigan 029D,E01006380,Wigan 029D
M28 1BH,Yes,53.516223,-2.425183,371904,402256,SD719022,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,58,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BJ,Yes,53.513488,-2.428217,371701,401953,SD717019,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,56,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BL,Yes,53.507305,-2.427868,371720,401265,SD717012,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,52,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BN,Yes,53.506524,-2.425176,371898,401177,SD718011,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,51,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
M28 1BP,Yes,53.505626,-2.430113,371570,401079,SD715010,Tyldesley & Mosley Common,"Wigan, unparished area",1994-05-01,,51,England,2024-09-06,Within the building of the matched address closest to the postcode mean,E01006379,Wigan 029C,E01006379,Wigan 029C
